bbchallenge_id,machine
2958774,1RB---_1LC0LB_1RD1LA_0RD0LE_1RB0LC
2959284,1RB---_1LC0LB_1RD1LB_---1RE_0RE0RC
2962546,1RB---_1LC0LB_1RE1LD_1LB1RB_1RA0RE
2962552,1RB---_1LC0LB_1RE1LD_1LB1RD_1RA0RE
3001424,1RB---_1LC0LC_1RD1LB_0LE0RD_0RC1LA
3008141,1RB---_1LC0LC_1RE1LD_1RD0LB_0RE1RA
3046671,1RB---_1LC0LD_0LA1RD_1LB1RE_1LE0RC
3073859,1RB---_1LC0LD_1RD1LA_1RE0LB_0RE0LA
3074477,1RB---_1LC0LD_1RD1LB_0LA1RE_1LB0RE
3078883,1RB---_1LC0LD_1RE0LD_0LC0RB_0RD0RA
3089420,1RB---_1LC0LD_1LB1LD_1RE0LA_0RC0RE
3094540,1RB---_1LC0LD_1LD1LA_0RE0LB_0RB1RE
3148636,1RB---_1LC0LE_1RD0LB_0RE1RC_0LA0RE
3150312,1RB---_1LC0LE_1RD0LB_1LE1RC_0LA0RE
3150548,1RB---_1LC0LE_1RD0LC_0RE1RA_0LB0RD
3150620,1RB---_1LC0LE_1RD0LC_0LB0RE_1LC1RA
3154525,1RB---_1LC0LE_1RD1LB_0RE0RD_1RA1LB
3162358,1RB---_1LC0LE_1LA0RD_0RC1LB_1RD1LE
3179417,1RB---_1LC1RA_0RD0LC_1LB0RE_1LA1RC
3179420,1RB---_1LC1RA_0RD0LC_1LB0LE_1RE0RB
3181371,1RB---_1LC1RA_0LC0LD_0RA0RE_0RE0RB
3181420,1RB---_1LC1RA_0LC1LD_0RE0RD_0RB1RB
3181421,1RB---_1LC1RA_0LC1LD_0RE0RD_0RB1RE
3181424,1RB---_1LC1RA_0LC1LD_0RE0RD_1LB1RB
3181542,1RB---_1LC1RA_0LD0LC_0RE0RB_1RD0RB
3181543,1RB---_1LC1RA_0LD0LC_0RE0RB_1RD0LA
3181546,1RB---_1LC1RA_0LD0LC_0RE0RB_1RD1RC
3181547,1RB---_1LC1RA_0LD0LC_0RE0RB_1RD1LA
3181555,1RB---_1LC1RA_0LD0LC_0RE1RB_1RD1LA
3181595,1RB---_1LC1RA_0LD0LC_1RE0LB_1RD0RB
3184029,1RB---_1LC1RA_1RD0LC_0RE0RB_0LB1RC
3184041,1RB---_1LC1RA_1RD0LC_0RE1RA_0LB0RD
3184044,1RB---_1LC1RA_1RD0LC_0RE1RE_0LB0RD
3184049,1RB---_1LC1RA_1RD0LC_0RE1LD_0LE0RB
3185595,1RB---_1LC1RA_1LD0LC_0RE0RB_0LC1RD
3185596,1RB---_1LC1RA_1LD0LC_0RE0RB_1RB1RD
3185672,1RB---_1LC1RA_1LD0LC_1RE1LB_1RB0RE
3185673,1RB---_1LC1RA_1LD0LC_1RE1LC_1RB0RE
3185808,1RB---_1LC1RA_1LD0LD_1RE0LC_0RB0RC
3198458,1RB---_1LC1RB_0LD0LC_1RE1LB_1RD0RA
3213486,1RB---_1LC1RB_1LD0LC_1RE1RD_0LB0RA
3213492,1RB---_1LC1RB_1LD0LC_1RE1RD_1LC0RA
3217925,1RB---_1LC1RC_0RA0LD_0LE0RD_1RA0LC
3217976,1RB---_1LC1RC_0RA0LD_1LE1RA_0RD0LE
3220431,1RB---_1LC1RC_0RC1LD_1LE1RE_1LA0LE
3257242,1RB---_1LC1RC_1RD0LC_0RE1RA_0LB0RD
3263377,1RB---_1LC1RC_1RE0LD_0RC0LC_1RA0RE
3280095,1RB---_1LC1RC_1LE1RD_1RA0RB_1RB0LE
3285498,1RB---_1LC1RD_0RA0LD_1RA0LE_0RC0LE
3291025,1RB---_1LC1RD_0RB0LC_1RA0RE_1LE1LA
3305134,1RB---_1LC1RD_0RD0LC_0LE0RE_1LB0RA
3313400,1RB---_1LC1RD_0RE0LD_0LC0RA_1RA---
3313403,1RB---_1LC1RD_0RE0LD_0LC0RA_1LC1RA
3325847,1RB---_1LC1RD_0LD0LC_1LE1RA_1RE0RD
3329061,1RB---_1LC1RD_0LD1LC_1RA1RE_0RB0LE
3329075,1RB---_1LC1RD_0LD1LC_1RA1RE_0RD0LE
3330377,1RB---_1LC1RD_0LE0RB_1RC---_0RA0LC
3332568,1RB---_1LC1RD_0LE0LD_0RB1RA_1LA0LC
3339661,1RB---_1LC1RD_1RA0LD_0LE0RA_0RC0LD
3348480,1RB---_1LC1RD_1RC0LD_1RA0LE_0RD0RB
3353514,1RB---_1LC1RD_1RD0LC_0RE1RA_0LB0RD
3363767,1RB---_1LC1RD_1RE1LA_0RC0LE_1LD0LB
3367575,1RB---_1LC1RD_1LA0LB_0LC1RE_0RE0LA
3367576,1RB---_1LC1RD_1LA0LB_0LC1RE_0RE1RB
3367577,1RB---_1LC1RD_1LA0LB_0LC1RE_0RE1LD
3368086,1RB---_1LC1RD_1LA0LB_1RE0LD_0RE0LA
3368566,1RB---_1LC1RD_1LA0LC_0RD0RE_0LE1LB
3369597,1RB---_1LC1RD_1LA0LD_0RE0LC_0RE1LB
3372791,1RB---_1LC1RD_1LA1LC_1LE0RD_1RB0LE
3380959,1RB---_1LC1RD_1LD0LC_0RE1RC_1RA0RB
3381178,1RB---_1LC1RD_1LD0LC_1RE0LB_1RA0RB
3411014,1RB---_1LC1RE_0RD0LC_1LB0RE_0RA1RB
3411173,1RB---_1LC1RE_0RD0LC_1LB1LA_0RA1RE
3419889,1RB---_1LC1RE_0RE0LD_0LE0LC_1RA1RC
3431038,1RB---_1LC1RE_0LD0LC_0RE0LA_0RB1RB
3438912,1RB---_1LC1RE_0LD1LC_1LA1LC_1RB0RE
